Date[DATE_TIME],PLANT_ID,Mean_AMBIENT_TEMPERATURE,Mean_MODULE_TEMPERATURE,Mean_IRRADIATION
2020/05/15,4135001,27.430822788,32.582964136,0.2046990307
2020/05/15,4136001,30.565992404,35.559493134,0.3006216334
2020/05/16,4135001,26.780538373,31.858851059,0.2119510248
2020/05/16,4136001,29.478612108,35.143313972,0.2466309672
2020/05/17,4135001,26.686726959,32.740435093,0.2388685225
2020/05/17,4136001,29.780109463,34.626731048,0.2211832818
2020/05/18,4135001,23.85093751,27.814343825,0.1590258863
2020/05/18,4136001,27.336693982,31.618089005,0.2239143783
2020/05/19,4135001,25.338020985,29.725163495,0.1940307687
2020/05/19,4136001,26.500659116,30.106083579,0.2141612696
2020/05/20,4135001,25.076782063,29.332087683,0.2280692778
2020/05/20,4136001,28.233015966,33.349862726,0.2790299027
2020/05/21,4135001,27.737575222,37.186870465,0.3464142698
2020/05/21,4136001,29.055460564,34.782797435,0.2832415091
2020/05/22,4135001,26.526702964,32.478885038,0.2304075261
2020/05/22,4136001,29.648565753,36.748053997,0.2972483652
2020/05/23,4135001,26.839616935,34.801843067,0.2900739065
2020/05/23,4136001,30.649598972,36.909950102,0.2933331309
2020/05/24,4135001,27.625116263,33.978544399,0.2597622941
2020/05/24,4136001,30.805943189,37.11655134,0.2856879614
2020/05/25,4135001,27.210157048,34.533962669,0.2836808915
2020/05/25,4136001,30.818428757,36.567040989,0.2766346368
2020/05/26,4135001,26.904454979,33.473153815,0.2526102998
2020/05/26,4136001,30.027993211,35.778917734,0.2836945201
2020/05/27,4135001,26.835469129,32.420287543,0.2139329818
2020/05/27,4136001,30.400937588,37.034485255,0.2857493607
2020/05/28,4135001,26.766278065,33.503174413,0.2711706672
2020/05/28,4136001,30.130057125,36.033720725,0.2930940294
2020/05/29,4135001,26.403786097,36.304638395,0.3138691296
2020/05/29,4136001,30.047376037,34.883857073,0.2446021985
2020/05/30,4135001,24.991223229,30.816012287,0.2278651476
2020/05/30,4136001,29.548670318,33.620538684,0.2481978901
2020/05/31,4135001,25.472599566,30.160712775,0.183598522
2020/05/31,4136001,28.451276545,33.097815307,0.2000412509
2020/06/01,4135001,24.779514438,28.961083133,0.1838462954
2020/06/01,4136001,25.507044807,28.493761253,0.1413711993
2020/06/02,4135001,24.374919995,29.448150875,0.2237880143
2020/06/02,4136001,27.102405316,32.883191491,0.2473814415
2020/06/03,4135001,24.795672349,29.998062865,0.2308179878
2020/06/03,4136001,26.134205706,29.572434187,0.174890926
2020/06/04,4135001,25.286175785,31.221624635,0.256989317
2020/06/04,4136001,26.304939273,30.830730546,0.2102372842
2020/06/05,4135001,24.87062226,30.582564657,0.2415901999
2020/06/05,4136001,27.082355022,32.300561841,0.2329854408
2020/06/06,4135001,24.247354627,28.802772219,0.203404979
2020/06/06,4136001,27.801298082,32.850818082,0.2704556326
2020/06/07,4135001,25.016089811,31.497892238,0.2541913839
2020/06/07,4136001,27.855763719,33.594637901,0.260780675
2020/06/08,4135001,25.441268369,31.621922607,0.2637034033
2020/06/08,4136001,28.493347079,34.312203557,0.2816504581
2020/06/09,4135001,25.545735575,31.51574415,0.2578611804
2020/06/09,4136001,28.12693157,32.960383361,0.2483127574
2020/06/10,4135001,24.752468028,29.2025423,0.2003363749
2020/06/10,4136001,27.334611434,30.826511175,0.193503362
2020/06/11,4135001,24.403410339,27.880257156,0.1618094338
2020/06/11,4136001,25.520911091,27.248319059,0.1174787719
2020/06/12,4135001,24.072378889,27.585833759,0.1698078235
2020/06/12,4136001,24.68342154,27.116899782,0.1364892266
2020/06/13,4135001,24.566728891,30.481025657,0.2644724434
2020/06/13,4136001,26.116937044,30.394871108,0.2155226411
2020/06/14,4135001,24.412891403,29.421707484,0.2200856388
2020/06/14,4136001,27.019790045,31.589834116,0.2295169815
2020/06/15,4135001,24.827413599,29.927816728,0.2059250595
2020/06/15,4136001,26.557591123,29.996232646,0.185052569
2020/06/16,4135001,24.928929419,29.555567137,0.1872825571
2020/06/16,4136001,26.36989716,29.589895937,0.165061632
2020/06/17,4135001,24.229728343,28.374542614,0.1769636726
2020/06/17,4136001,24.852174461,26.668631332,0.1243829668
