PLANT_ID,Date[DATE_TIME],Mean_DC_POWER,Mean_AC_POWER,Mean_DAILY_YIELD,Mean_TOTAL_YIELD
4135001,2020/01/06,2466.9195234,241.33120265,3024.6154711,6981185.6971
4135001,2020/02/06,3176.1546365,310.66454542,2981.1989572,6988685.6166
4135001,2020/03/06,3215.1820763,314.47392664,3666.6576301,6994436.3665
4135001,2020/04/06,3567.754122,348.81831808,2968.5196527,6998047.0111
4135001,2020/05/06,3316.5739584,324.31449806,3069.291804,7012397.3558
4135001,2020/05/15,2879.8562655,281.89916039,2586.2799258,6856086.7744
4135001,2020/05/16,3002.1393577,293.87788078,3464.2733232,6863167.3319
4135001,2020/05/17,3200.5656002,312.96183205,3695.1066694,6869207.9605
4135001,2020/05/18,2278.6688143,222.99702127,2429.114465,6875445.8485
4135001,2020/05/19,2732.6406287,267.46255833,2962.9752363,6888140.0128
4135001,2020/05/20,3215.0632597,314.04579389,3356.7799392,6888532.9428
4135001,2020/05/21,4956.9211588,484.46085483,4844.519541,6905199.0326
4135001,2020/05/22,3166.0179986,309.58092109,2739.6110229,6898265.4853
4135001,2020/05/23,3896.944424,380.9419244,4325.3284176,6913180.7071
4135001,2020/05/24,3390.3190781,331.35313007,3873.6984578,6921214.4471
4135001,2020/05/25,3834.449084,374.55153462,4394.764566,6929363.1085
4135001,2020/05/26,3403.81512,332.76243709,2112.0237262,6935661.3833
4135001,2020/05/27,2916.9235398,285.43267822,2498.541264,6940298.9084
4135001,2020/05/28,3788.5834187,370.26235137,3827.3395863,6952354.7404
4135001,2020/05/29,4896.0605465,478.59773666,4096.2586977,6954099.9341
4135001,2020/05/30,3078.7466349,301.15681564,3338.1402783,6968307.1216
4135001,2020/05/31,2553.918566,249.73370133,2950.6267213,6976649.7818
4135001,2020/06/06,2792.8550195,273.06653265,2474.0822804,7013243.4672
4135001,2020/06/13,3595.5380056,351.34121855,4122.122827,7067253.239
4135001,2020/06/14,3006.8629684,294.27523421,3428.3347961,7074978.5177
4135001,2020/06/15,2867.2045032,280.53213271,3379.4663065,7081974.5435
4135001,2020/06/16,2638.4949166,258.28914715,3083.6102393,7088387.9394
4135001,2020/06/17,2571.4602618,251.63613947,2968.5118817,7094474.2907
4135001,2020/07/06,3255.8921215,318.24786678,3668.1383675,7024930.3442
4135001,2020/08/06,3536.9862988,345.68535263,4027.1079777,7032935.3688
4135001,2020/09/06,3425.1936046,334.86623292,3911.1255073,7041132.0246
4135001,2020/10/06,2738.6550764,267.96282721,3162.7810741,7048422.2184
4135001,2020/11/06,2389.0523539,233.9843099,2622.2036746,7054321.9295
4135001,2020/12/06,2472.7054501,242.0879236,2769.3262987,7060089.6825
4136001,2020/05/15,318.95101959,311.69269697,3826.5129323,644703386.64
4136001,2020/05/16,268.39007576,262.43061576,3425.5009019,637767577.94
4136001,2020/05/17,263.36975294,257.76184702,3178.1559121,642928212.63
4136001,2020/05/18,251.3132941,245.74458581,2963.5828057,644825348.36
4136001,2020/05/19,219.55239951,214.63105082,2563.0467691,650818257.26
4136001,2020/05/20,233.36051577,228.25258688,3817.7794103,759031998.85
4136001,2020/05/21,285.94459491,279.52625248,3283.7344687,728453462.52
4136001,2020/05/22,288.60609237,282.06709556,3412.7685671,737778475.27
4136001,2020/05/23,290.40699928,283.8255269,3638.3732143,728195099.85
4136001,2020/05/24,277.36894511,271.18601797,3261.0759728,715336730.2
4136001,2020/05/25,337.26119158,329.6158901,4048.9828483,722080012.9
4136001,2020/05/26,333.69218226,326.08983383,3751.1522046,705725800.02
4136001,2020/05/27,257.77589629,252.00588239,3347.6989005,664826158.91
4136001,2020/05/28,288.79284317,282.25860882,3394.9155423,727259254.54
4136001,2020/05/29,270.4794158,264.65491568,3712.3250168,704404762.94
4136001,2020/05/30,290.97093028,284.49646149,3387.6220328,641087701.21
4136001,2020/05/31,263.65892293,257.74911999,3373.797335,639644237.69
4136001,2020/06/01,178.01865292,174.01019283,2456.991517,640815186.31
4136001,2020/06/02,245.97157422,240.65795725,2765.5983293,620343396.08
4136001,2020/06/03,198.49051014,194.27994076,2560.4645409,638250273.47
4136001,2020/06/04,224.89129126,220.07079455,2825.4344021,643441985.29
4136001,2020/06/05,245.60014903,240.21681503,3762.2575194,645005291.56
4136001,2020/06/06,249.58193881,243.90712955,3656.2437117,634369221.47
4136001,2020/06/07,224.09040336,219.00038307,3505.9043899,629208466.39
4136001,2020/06/08,286.14292834,279.66127966,4247.2640776,644557173.02
4136001,2020/06/09,262.32343231,256.58789547,4168.9617717,641831989.61
4136001,2020/06/10,186.3587928,182.33258043,3192.2334416,624122184.28
4136001,2020/06/11,162.28828321,159.01885519,2618.1925571,634210282.92
4136001,2020/06/12,194.71300325,190.7694219,2846.4765738,639603594.3
4136001,2020/06/13,215.58039322,210.94117627,3192.8600356,627823445.7
4136001,2020/06/14,239.54140715,234.40980271,3706.3870626,644966002.86
4136001,2020/06/15,194.6017564,190.49343006,3279.3916441,645082177.98
4136001,2020/06/16,227.65628247,222.93107346,3356.8494792,634833034.48
4136001,2020/06/17,180.02426159,176.34295319,1982.5634695,637688654.7
