Year,TropicalStorms,Hurricanes,MajorHurricanes,TotalHurricanes,AvgSeaSurfaceCelsius
1851,6,3,1,4,-0.209833333
1852,5,5,1,6,-0.204416667
1853,8,4,2,6,-0.2365
1854,5,3,1,4,-0.264583333
1855,5,4,1,5,-0.23325
1856,6,4,2,6,-0.326083333
1857,4,3,0,3,-0.452833333
1858,6,6,0,6,-0.472083333
1859,8,7,1,8,-0.347583333
1860,7,6,1,7,-0.273833333
1861,8,6,0,6,-0.420416667
1862,6,3,0,3,-0.41575
1863,9,5,0,5,-0.374
1864,5,3,0,3,-0.405083333
1865,7,3,0,3,-0.249166667
1866,7,6,1,7,-0.228833333
1867,9,7,1,8,-0.230416667
1868,4,3,0,3,-0.23425
1869,10,7,1,8,-0.272833333
1870,11,10,2,12,-0.240416667
1871,8,6,2,8,-0.23875
1872,5,4,0,4,-0.237916667
1873,5,3,2,5,-0.293583333
1874,7,4,0,4,-0.401916667
1875,6,5,1,6,-0.25425
1876,5,4,2,6,-0.357833333
1877,8,3,1,4,-0.037666667
1878,12,10,2,12,0.014
1879,8,6,2,8,-0.192
1880,11,9,2,11,-0.18975
1881,7,4,0,4,-0.1475
1882,6,4,2,6,-0.20225
1883,4,3,2,5,-0.237083333
1884,4,4,1,5,-0.34
1885,8,6,0,6,-0.326166667
1886,12,10,4,14,-0.33725
1887,19,11,2,13,-0.40175
1888,9,6,2,8,-0.235916667
1889,9,6,0,6,-0.150333333
1890,4,2,1,3,-0.424666667
1891,10,7,1,8,-0.271083333
1892,9,5,0,5,-0.408333333
1893,12,10,5,15,-0.397
1894,7,5,4,9,-0.41875
1895,6,2,0,2,-0.330916667
1896,7,6,2,8,-0.12725
1897,6,3,0,3,-0.175916667
1898,11,5,1,6,-0.405583333
1899,10,5,2,7,-0.279666667
1900,7,3,2,5,-0.201
1901,13,6,0,6,-0.3205
1902,5,3,0,3,-0.41025
1903,10,7,1,8,-0.518583333
1904,6,4,0,4,-0.532666667
1905,5,1,1,2,-0.395333333
1906,11,6,3,9,-0.345333333
1907,5,0,0,0,-0.435166667
1908,10,6,1,7,-0.53825
1909,12,6,4,10,-0.559
1910,5,3,1,4,-0.56825
1911,6,3,0,3,-0.576333333
1912,7,4,1,5,-0.439666667
1913,6,4,0,4,-0.471083333
1914,1,0,0,0,-0.315166667
1915,6,5,3,8,-0.190166667
1916,15,10,5,15,-0.39975
1917,4,2,2,4,-0.416416667
1918,6,4,1,5,-0.346833333
1919,5,2,1,3,-0.326666667
1920,5,4,0,4,-0.272
1921,7,5,2,7,-0.2345
1922,5,3,1,4,-0.3245
1923,9,4,1,5,-0.3055
1924,11,5,2,7,-0.2855
1925,4,1,0,1,-0.245333333
1926,11,8,6,14,-0.125833333
